Order NO,Order Date,Countries,Pie Flavor,Quantity,Price,Amount Sold,Slice Or Whole Pie,Pre-Order/In-Store Purchase,Organic?,,,,,,,,,,,,,Pie Flavor,Quantity,,
10001,43818,Algeria,Apple,5,6721,33605,Slice,Pre-Order,No,,,,,,,,,,,,,Apple,greater2,,"=FILTER(FILTER(A2:I2774,(C2:C2774=""Apple"")*(D2:D2774>2),""""),{0,0,1,1,0,1,1,0,0})"
10002,43818,Angola,Apple,3,4572,13716,Whole,In-Store,Yes,,,,,,,,,,,,,,,,"=SORT(FILTER(A2:I2774,D2:D2774>3),3,1)"
10003,43818,Benin,Apple,3,3862,11586,Whole,In-Store,No,,,,,,,,,,,,,,,,
10004,43818,Botswana,Apple,4,8302,33208,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10005,43818,Burkina Faso,Apple,2,5603,11206,Whole,In-Store,No,,,,,,,,,,,,,,,,
10006,43818,Burundi,Apple,3,7710,23130,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10007,43818,Cabo Verde,Apple,3,4871,14613,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10008,43818,Cameroon,Apple,5,9463,47315,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10009,44187,Central African Republic,Cherry,3,4970,14910,Whole,In-Store,No,,,,,,,,,,,,,,,,
10010,44187,Chad,Strawberry Rhubarb,1,8437,8437,Slice,In-Store,No,,,,,,,,,,,,,,,,
10011,44187,Comoros,Cherry,4,2565,10260,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10012,44187,Congo,Strawberry Rhubarb,1,4590,4590,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10013,44187,Côte d'Ivoire,Cherry,2,6437,12874,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10014,44187,Djibouti,Cherry,1,9574,9574,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10015,44187,DR Congo,Apple,4,7937,31748,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10016,44187,Egypt,Cherry,4,2006,8024,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10017,44187,Equatorial Guinea,Strawberry Rhubarb,3,5652,16956,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10018,44187,Eritrea,Apple,1,1627,1627,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10019,44187,Eswatini,Apple,5,6542,32710,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10020,44338,Ethiopia,Fudge,5,1465,7325,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10021,44338,Gabon,Apple,3,2756,8268,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10022,44338,Gambia,Apple,4,7851,31404,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10023,44338,Ghana,Fudge,2,8841,17682,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
