Order NO,Order Date,Countries,Pie Flavor,Quantity,Price,Amount Sold,Slice Or Whole Pie,Pre-Order/In-Store Purchase,Organic?,,Pie Flavor,Quantity,,
10001,19/12/2019,Algeria,Apple,5," 6,721 ",33605.00,Slice,Pre-Order,No,,Apple,greater2,,"=FILTER(FILTER(A2:I2774,(C2:C2774=""Apple"")*(D2:D2774>2),""""),{0,0,1,1,0,1,1,0,0})"
10002,19/12/2019,Angola,Apple,3," 4,572 ",13716.00,Whole,In-Store,Yes,,,,,"=SORT(FILTER(A2:I2774,D2:D2774>3),3,1)"
10003,19/12/2019,Benin,Apple,3," 3,862 ",11586.00,Whole,In-Store,No,,,,,
10004,19/12/2019,Botswana,Apple,4," 8,302 ",33208.00,Whole,Pre-Order,No,,,,,
10005,19/12/2019,Burkina Faso,Apple,2," 5,603 ",11206.00,Whole,In-Store,No,,,,,
10006,19/12/2019,Burundi,Apple,3," 7,710 ",23130.00,Whole,Pre-Order,No,,,,,
10007,19/12/2019,Cabo Verde,Apple,3," 4,871 ",14613.00,Whole,Pre-Order,No,,,,,
10008,19/12/2019,Cameroon,Apple,5," 9,463 ",47315.00,Slice,Pre-Order,Yes,,,,,
10009,22/12/2020,Central African Republic,Cherry,3," 4,970 ",14910.00,Whole,In-Store,No,,,,,
10010,22/12/2020,Chad,Strawberry Rhubarb,1," 8,437 ",8437.00,Slice,In-Store,No,,,,,
10011,22/12/2020,Comoros,Cherry,4," 2,565 ",10260.00,Slice,Pre-Order,Yes,,,,,
10012,22/12/2020,Congo,Strawberry Rhubarb,1," 4,590 ",4590.00,Slice,Pre-Order,Yes,,,,,
10013,22/12/2020,Côte d'Ivoire,Cherry,2," 6,437 ",12874.00,Slice,In-Store,Yes,,,,,
10014,22/12/2020,Djibouti,Cherry,1," 9,574 ",9574.00,Whole,In-Store,Yes,,,,,
10015,22/12/2020,DR Congo,Apple,4," 7,937 ",31748.00,Whole,Pre-Order,Yes,,,,,
10016,22/12/2020,Egypt,Cherry,4," 2,006 ",8024.00,Whole,In-Store,Yes,,,,,
10017,22/12/2020,Equatorial Guinea,Strawberry Rhubarb,3," 5,652 ",16956.00,Whole,Pre-Order,Yes,,,,,
10018,22/12/2020,Eritrea,Apple,1," 1,627 ",1627.00,Whole,Pre-Order,Yes,,,,,
10019,22/12/2020,Eswatini,Apple,5," 6,542 ",32710.00,Whole,Pre-Order,Yes,,,,,
10020,22/05/2021,Ethiopia,Fudge,5," 1,465 ",7325.00,Slice,Pre-Order,Yes,,,,,
10021,22/05/2021,Gabon,Apple,3," 2,756 ",8268.00,Whole,In-Store,Yes,,,,,
10022,22/05/2021,Gambia,Apple,4," 7,851 ",31404.00,Whole,In-Store,Yes,,,,,
10023,22/05/2021,Ghana,Fudge,2," 8,841 ",17682.00,Whole,In-Store,Yes,,,,,
10024,22/05/2021,Guinea,Fudge,4," 5,744 ",22976.00,Whole,In-Store,Yes,,,,,
10025,22/05/2021,Guinea-Bissau,Apple,1," 7,620 ",7620.00,Slice,Pre-Order,Yes,,,,,
10026,22/05/2021,Kenya,Fudge,1," 2,915 ",2915.00,Slice,Pre-Order,Yes,,,,,
10027,22/05/2021,Lesotho,Pumpkin,2," 9,097 ",18194.00,Whole,Pre-Order,Yes,,,,,
10028,22/05/2021,Liberia,Fudge,4," 9,855 ",39420.00,Slice,In-Store,Yes,,,,,
10029,22/05/2021,Libya,Fudge,5," 8,368 ",41840.00,Slice,Pre-Order,Yes,,,,,
10030,22/05/2021,Madagascar,Fudge,4," 1,531 ",6124.00,Slice,Pre-Order,Yes,,,,,
10031,22/05/2021,Malawi,Fudge,4," 5,851 ",23404.00,Slice,In-Store,Yes,,,,,
10032,22/05/2021,Mali,Pumpkin,5," 4,594 ",22970.00,Whole,Pre-Order,Yes,,,,,
10033,22/05/2021,Mauritania,Blueberry,1," 7,071 ",7071.00,Whole,In-Store,Yes,,,,,
10034,01/11/2021,Mauritius,Apple,3," 1,561 ",4683.00,Slice,Pre-Order,Yes,,,,,
10035,01/11/2021,Morocco,Apple,5," 5,813 ",29065.00,Slice,Pre-Order,Yes,,,,,
10036,01/11/2021,Mozambique,Apple,5," 6,500 ",32500.00,Slice,Pre-Order,Yes,,,,,
10037,01/11/2021,Namibia,Apple,5," 6,248 ",31240.00,Slice,In-Store,Yes,,,,,
10038,01/11/2021,Niger,Apple,4," 4,242 ",16968.00,Slice,Pre-Order,Yes,,,,,
