S/N,Date,Branch,Pizza Sold,Price,Quantity,Sales Discount,Time,Time Range
1,2021-06-10,Italy,Meatzaa,2000,5,0.03,15:57:36,Before 9:00am
2,2020-10-05,France,Extravaganza,2000,4,0.07,17:54:14.400000,Before 9:00am
3,2020-11-04,Spain,BBQ Chicken,4000,5,0.05,09:04:19.200000,Before 9:00am
4,2021-10-27,France,Extravaganza,2000,1,0.0,16:03:21.600000,Before 9:00am
5,2020-10-20,England,Meatzaa,2000,4,0.0,08:54:14.400000,Before 9:00am
6,2020-09-10,Germany,Hot Veggie,4000,2,0.1,15:38:52.800000,Before 9:00am
7,2020-03-15,Italy,BBQ Philly Steak,4000,5,0.05,11:44:09.600000,Before 9:00am
8,2020-04-21,France,Chicken Feast,2000,1,0.0,17:34:04.800000,Before 9:00am
9,2021-02-05,England,Meatzaa,2000,3,0.05,13:20:38.400000,Before 9:00am
10,2022-06-17,Italy,Chicken Suya,4000,5,0.0,10:48:00,Before 9:00am
11,2020-05-20,Spain,Chicken Legend,2000,5,0.03,10:13:26.400000,Before 9:00am
12,2021-02-06,England,BBQ Philly Steak,4000,4,0.05,08:31:12,Before 9:00am
13,2021-09-13,England,Chicken Suya,4000,2,0.05,13:52:19.200000,Before 9:00am
14,2021-01-28,Italy,Chicken Feast,2000,5,0.03,14:05:16.800000,Before 9:00am
15,2021-02-25,Germany,Chicken Feast,2000,4,0.0,16:45:07.200000,Before 9:00am
16,2021-10-14,Spain,Beef Suya,3000,5,0.05,12:27:21.600000,Before 9:00am
17,2020-04-22,England,Chicken Feast,2000,5,0.05,17:13:55.200000,Before 9:00am
18,2021-11-23,Spain,Hot Veggie,4000,5,0.03,15:21:36,Before 9:00am
19,2020-06-04,Germany,Meatzaa,2000,5,0.1,14:13:55.200000,Before 9:00am
20,2022-04-14,Italy,Meatzaa,2000,2,0.05,09:15:50.400000,Before 9:00am
21,2020-02-12,Spain,Margarita,4000,3,0.0,08:18:14.400000,Before 9:00am
22,2020-09-16,Germany,Italiano,3000,5,0.07,10:12:00,Before 9:00am
23,2021-02-09,England,Hot Veggie,4000,2,0.03,15:01:26.400000,Before 9:00am
24,2021-06-15,France,Pepperoni Suya,3000,3,0.05,17:38:24,Before 9:00am
25,2020-06-22,Spain,Veggie Supreme,3000,5,0.05,11:55:40.800000,Before 9:00am
26,2020-12-07,Italy,Hot Pepperoni Feast,4000,3,0.0,17:06:43.200000,Before 9:00am
27,2021-02-18,France,Chicken Legend,2000,4,0.05,15:59:02.400000,Before 9:00am
28,2020-05-29,Italy,BBQ Philly Steak,4000,1,0.1,08:16:48,Before 9:00am
29,2021-01-22,France,Hot Pepperoni Feast,4000,2,0.05,08:03:50.400000,Before 9:00am
30,2020-10-24,Spain,Chicken Bali,2000,4,0.05,14:35:31.200000,Before 9:00am
31,2021-04-05,Spain,Chicken Feast,2000,3,0.1,10:52:19.200000,Before 9:00am
32,2020-03-18,France,Veggie Supreme,3000,2,0.0,09:44:38.400000,Before 9:00am
33,2020-12-21,England,Extravaganza,2000,4,0.1,16:20:38.400000,Before 9:00am
34,2020-09-05,Italy,Pepperoni Suya,3000,4,0.0,09:56:09.600000,Before 9:00am
35,2021-09-30,England,Veggie Supreme,3000,2,0.03,08:41:16.800000,Before 9:00am
36,2022-04-15,France,Extravaganza,2000,2,0.03,12:31:40.800000,Before 9:00am
37,2021-08-20,Spain,Italiano,3000,2,0.0,10:07:40.800000,Before 9:00am
38,2021-11-01,Spain,BBQ Philly Steak,4000,2,0.0,10:30:43.200000,Before 9:00am
39,2021-02-15,Italy,Pepperoni Feast,4000,5,0.0,17:18:14.400000,Before 9:00am
40,2022-03-05,Spain,Chicken Bali,2000,4,0.05,13:32:09.600000,Before 9:00am
41,2020-12-21,Spain,Pepperoni Suya,3000,2,0.03,14:58:33.600000,Before 9:00am
42,2020-01-22,England,BBQ Philly Steak,4000,5,0.05,13:27:50.400000,Before 9:00am
43,2021-03-16,Germany,Chicken Bali,2000,3,0.05,08:44:09.600000,Before 9:00am
44,2020-08-19,England,Italiano,3000,5,0.1,11:58:33.600000,Before 9:00am
45,2021-09-28,England,BBQ Philly Steak,4000,4,0.1,15:30:14.400000,Before 9:00am
46,2020-12-21,Spain,Hot Pepperoni Feast,4000,5,0.0,15:00:00,Before 9:00am
47,2020-05-04,Spain,Chicken Legend,2000,2,0.03,12:17:16.800000,Before 9:00am
48,2021-04-28,Spain,Chicken Bali,2000,2,0.0,09:30:14.400000,Before 9:00am
49,2020-06-09,Spain,BBQ Philly Steak,4000,1,0.0,13:50:52.800000,Before 9:00am
50,2021-05-29,Germany,BBQ Chicken,4000,4,0.0,12:20:09.600000,Before 9:00am
51,2021-08-30,France,Pepperoni Feast,4000,4,0.03,09:01:26.400000,Before 9:00am
52,2020-08-07,England,BBQ Philly Steak,4000,1,0.0,08:51:21.600000,Before 9:00am
53,2021-09-16,Italy,BBQ Philly Steak,4000,4,0.0,08:02:24,Before 9:00am
54,2022-04-18,Italy,Pepperoni Suya,3000,2,0.0,13:09:07.200000,Before 9:00am
55,2022-05-28,England,Veggie Supreme,3000,5,0.05,12:44:38.400000,Before 9:00am
56,2020-10-20,Germany,Chicken Suya,4000,5,0.1,16:03:21.600000,Before 9:00am
57,2021-07-26,Germany,Margarita,4000,4,0.0,09:46:04.800000,Before 9:00am
58,2020-12-26,Germany,Chicken Bali,2000,5,0.05,10:35:02.400000,Before 9:00am
59,2020-07-08,England,Meatzaa,2000,5,0.03,13:40:48,Before 9:00am
60,2021-03-21,Germany,BBQ Philly Steak,4000,3,0.05,13:56:38.400000,Before 9:00am
61,2022-03-27,Spain,Pepperoni Suya,3000,5,0.03,15:36:00,Before 9:00am
62,2020-11-28,England,Chicken Feast,2000,5,0.03,10:12:00,Before 9:00am
63,2022-02-06,England,Chicken Feast,2000,4,0.05,11:15:21.600000,Before 9:00am
64,2022-02-28,England,Chicken Suya,4000,2,0.05,16:43:40.800000,Before 9:00am
65,2020-06-19,Italy,Chicken Legend,2000,3,0.05,13:00:28.800000,Before 9:00am
66,2020-02-22,France,Chicken Feast,2000,4,0.05,14:06:43.200000,Before 9:00am
67,2020-12-10,Spain,Chicken Bali,2000,1,0.03,13:56:38.400000,Before 9:00am
68,2020-05-21,France,Pepperoni Suya,3000,1,0.03,15:59:02.400000,Before 9:00am
69,2021-03-26,Spain,Pepperoni Feast,4000,3,0.03,09:36:00,Before 9:00am
70,2022-03-14,Italy,Beef Suya,3000,3,0.0,10:42:14.400000,Before 9:00am
71,2020-11-18,Germany,BBQ Chicken,4000,1,0.05,17:54:14.400000,Before 9:00am
72,2020-09-08,France,Pepperoni Feast,4000,3,0.05,15:34:33.600000,Before 9:00am
73,2022-01-30,Italy,Pepperoni Feast,4000,5,0.03,08:19:40.800000,Before 9:00am
74,2020-01-21,France,BBQ Chicken,4000,2,0.1,17:29:45.600000,Before 9:00am
75,2020-06-16,England,Extravaganza,2000,5,0.0,16:40:48,Before 9:00am
76,2020-11-03,Spain,Chicken Legend,2000,1,0.0,10:19:12,Before 9:00am
77,2021-03-25,France,Pepperoni Suya,3000,2,0.0,14:39:50.400000,Before 9:00am
78,2020-12-16,England,Hot Veggie,4000,2,0.03,10:43:40.800000,Before 9:00am
79,2020-09-01,Spain,Extravaganza,2000,3,0.05,10:35:02.400000,Before 9:00am
80,2020-03-26,Germany,Chicken Suya,4000,3,0.03,13:03:21.600000,Before 9:00am
81,2021-05-26,Italy,Pepperoni Feast,4000,5,0.0,12:36:00,Before 9:00am
82,2020-05-15,France,Pepperoni Feast,4000,3,0.07,15:30:14.400000,Before 9:00am
83,2020-04-01,Spain,BBQ Chicken,4000,3,0.0,12:33:07.200000,Before 9:00am
84,2020-08-02,Italy,BBQ Philly Steak,4000,4,0.1,11:44:09.600000,Before 9:00am
85,2020-09-27,Spain,Hot Veggie,4000,5,0.03,09:27:21.600000,Before 9:00am
86,2020-03-12,Spain,Chicken Bali,2000,1,0.0,09:37:26.400000,Before 9:00am
87,2021-08-10,Italy,Beef Suya,3000,2,0.07,14:49:55.200000,Before 9:00am
88,2020-06-19,Germany,BBQ Philly Steak,4000,2,0.0,10:14:52.800000,Before 9:00am
89,2020-04-30,France,Veggie Supreme,3000,4,0.05,15:21:36,Before 9:00am
90,2020-05-23,Germany,Chicken Suya,4000,1,0.05,14:13:55.200000,Before 9:00am
91,2021-10-15,Italy,BBQ Chicken,4000,5,0.0,14:08:09.600000,Before 9:00am
92,2020-11-11,France,BBQ Philly Steak,4000,4,0.07,17:03:50.400000,Before 9:00am
93,2021-10-15,Italy,Meatzaa,2000,5,0.0,17:44:09.600000,Before 9:00am
94,2020-02-20,England,Hot Veggie,4000,5,0.03,15:24:28.800000,Before 9:00am
95,2021-03-10,France,Italiano,3000,2,0.05,11:13:55.200000,Before 9:00am
96,2022-06-06,France,BBQ Philly Steak,4000,3,0.05,15:41:45.600000,Before 9:00am
97,2021-08-20,Germany,Chicken Legend,2000,1,0.1,11:48:28.800000,Before 9:00am
98,2022-04-02,Germany,Hot Pepperoni Feast,4000,2,0.1,14:34:04.800000,Before 9:00am
99,2020-01-19,England,Hot Pepperoni Feast,4000,4,0.05,11:16:48,Before 9:00am
100,2022-06-18,France,BBQ Philly Steak,4000,4,0.0,13:27:50.400000,Before 9:00am
101,2020-02-11,Spain,Veggie Supreme,3000,3,0.03,08:54:14.400000,Before 9:00am
102,2022-02-28,Germany,Chicken Suya,4000,5,0.0,09:46:04.800000,Before 9:00am
103,2022-03-14,France,Pepperoni Suya,3000,5,0.0,16:17:45.600000,Before 9:00am
104,2020-09-19,Germany,Chicken Bali,2000,4,0.05,14:35:31.200000,Before 9:00am
105,2020-11-02,England,Extravaganza,2000,4,0.03,09:27:21.600000,Before 9:00am
106,2022-02-07,Italy,Veggie Supreme,3000,5,0.0,08:18:14.400000,Before 9:00am
107,2021-01-06,England,Pepperoni Feast,4000,3,0.0,15:11:31.200000,Before 9:00am
108,2021-05-22,England,Chicken Suya,4000,5,0.1,10:33:36,Before 9:00am
109,2021-12-06,Germany,Italiano,3000,1,0.05,14:25:26.400000,Before 9:00am
110,2020-07-09,France,Margarita,4000,4,0.0,15:12:57.600000,Before 9:00am
111,2022-02-08,Germany,Chicken Suya,4000,5,0.0,17:28:19.200000,Before 9:00am
112,2022-01-15,Italy,Meatzaa,2000,4,0.07,15:44:38.400000,Before 9:00am
113,2020-05-15,Spain,Veggie Supreme,3000,2,0.0,11:15:21.600000,Before 9:00am
114,2021-10-10,France,Chicken Bali,2000,3,0.03,13:03:21.600000,Before 9:00am
115,2020-07-21,England,Italiano,3000,3,0.05,15:44:38.400000,Before 9:00am
116,2022-03-01,Spain,Hot Pepperoni Feast,4000,4,0.0,11:32:38.400000,Before 9:00am
117,2020-09-12,Germany,Pepperoni Suya,3000,4,0.03,10:45:07.200000,Before 9:00am
118,2022-03-09,Italy,Beef Suya,3000,3,0.03,09:40:19.200000,Before 9:00am
119,2020-07-01,Spain,Veggie Supreme,3000,5,0.05,10:35:02.400000,Before 9:00am
120,2021-10-27,Germany,Italiano,3000,4,0.0,08:32:38.400000,Before 9:00am
121,2022-03-23,Italy,Hot Pepperoni Feast,4000,2,0.0,10:43:40.800000,Before 9:00am
122,2022-06-23,England,Chicken Suya,4000,2,0.05,13:23:31.200000,Before 9:00am
123,2022-06-25,Spain,Veggie Supreme,3000,4,0.0,08:22:33.600000,Before 9:00am
124,2020-04-25,Italy,Meatzaa,2000,4,0.07,09:38:52.800000,Before 9:00am
125,2021-08-13,Italy,Hot Veggie,4000,5,0.05,15:02:52.800000,Before 9:00am
126,2020-05-08,France,BBQ Philly Steak,4000,4,0.05,15:36:00,Before 9:00am
127,2021-12-31,France,Beef Suya,3000,1,0.1,09:15:50.400000,Before 9:00am
128,2020-05-29,Spain,Veggie Supreme,3000,3,0.07,16:19:12,Before 9:00am
129,2020-03-26,Spain,Hot Veggie,4000,2,0.05,15:30:14.400000,Before 9:00am
130,2021-11-21,England,Margarita,4000,4,0.0,17:31:12,Before 9:00am
131,2020-07-03,Italy,Chicken Legend,2000,1,0.05,15:14:24,Before 9:00am
132,2020-09-21,England,Veggie Supreme,3000,1,0.03,15:21:36,Before 9:00am
133,2021-11-16,Germany,Hot Veggie,4000,5,0.0,08:05:16.800000,Before 9:00am
134,2020-05-23,Spain,Pepperoni Suya,3000,4,0.07,14:39:50.400000,Before 9:00am
135,2020-06-17,England,BBQ Philly Steak,4000,4,0.05,16:55:12,Before 9:00am
136,2021-11-26,England,Meatzaa,2000,5,0.0,15:00:00,Before 9:00am
137,2021-01-28,Italy,Beef Suya,3000,2,0.03,08:24:00,Before 9:00am
138,2020-12-15,Italy,Pepperoni Feast,4000,5,0.03,15:17:16.800000,Before 9:00am
139,2021-09-27,Italy,BBQ Philly Steak,4000,2,0.05,16:24:57.600000,Before 9:00am
140,2021-03-12,England,Margarita,4000,1,0.05,16:50:52.800000,Before 9:00am
141,2021-12-31,Spain,Chicken Suya,4000,2,0.0,11:22:33.600000,Before 9:00am
142,2020-01-31,Spain,Chicken Bali,2000,2,0.03,16:39:21.600000,Before 9:00am
143,2021-07-11,Spain,Margarita,4000,3,0.03,08:15:21.600000,Before 9:00am
144,2022-01-11,France,Pepperoni Feast,4000,5,0.0,16:42:14.400000,Before 9:00am
145,2020-01-27,France,Pepperoni Feast,4000,3,0.03,09:38:52.800000,Before 9:00am
146,2021-07-09,France,Beef Suya,3000,1,0.0,11:15:21.600000,Before 9:00am
147,2022-03-18,Italy,Hot Pepperoni Feast,4000,5,0.03,09:40:19.200000,Before 9:00am
148,2020-01-22,France,Pepperoni Suya,3000,1,0.05,08:55:40.800000,Before 9:00am
149,2020-01-08,Spain,Chicken Suya,4000,3,0.0,17:05:16.800000,Before 9:00am
150,2020-05-01,Germany,Hot Pepperoni Feast,4000,2,0.05,15:12:57.600000,Before 9:00am
151,2021-01-30,Italy,Chicken Legend,2000,5,0.03,10:53:45.600000,Before 9:00am
152,2022-05-05,Germany,Extravaganza,2000,5,0.03,15:17:16.800000,Before 9:00am
153,2020-01-24,England,Beef Suya,3000,2,0.1,09:57:36,Before 9:00am
154,2021-04-09,Spain,Extravaganza,2000,4,0.07,08:24:00,Before 9:00am
155,2020-06-17,Spain,Pepperoni Suya,3000,2,0.0,09:50:24,Before 9:00am
156,2020-08-09,Italy,BBQ Philly Steak,4000,3,0.0,12:43:12,Before 9:00am
157,2021-07-19,England,Italiano,3000,1,0.03,13:42:14.400000,Before 9:00am
158,2021-04-21,France,Extravaganza,2000,1,0.0,09:01:26.400000,Before 9:00am
159,2020-07-24,Germany,BBQ Philly Steak,4000,2,0.05,11:22:33.600000,Before 9:00am
160,2021-11-15,England,Italiano,3000,1,0.07,15:14:24,Before 9:00am
161,2020-06-16,Germany,Chicken Legend,2000,2,0.05,15:38:52.800000,Before 9:00am
162,2022-01-18,France,Italiano,3000,4,0.0,12:59:02.400000,Before 9:00am
163,2021-11-10,Italy,Hot Veggie,4000,4,0.07,09:24:28.800000,Before 9:00am
164,2022-05-30,Italy,Chicken Feast,2000,3,0.05,08:54:14.400000,Before 9:00am
165,2021-09-01,France,Meatzaa,2000,2,0.03,08:55:40.800000,Before 9:00am
166,2021-05-11,France,Margarita,4000,5,0.05,17:09:36,Before 9:00am
167,2022-04-01,Spain,Hot Pepperoni Feast,4000,5,0.05,16:32:09.600000,Before 9:00am
168,2022-01-12,Italy,BBQ Chicken,4000,3,0.0,16:29:16.800000,Before 9:00am
169,2020-09-08,Spain,Hot Pepperoni Feast,4000,5,0.05,10:27:50.400000,Before 9:00am
170,2021-04-06,France,Chicken Legend,2000,4,0.0,13:50:52.800000,Before 9:00am
171,2021-03-08,Germany,Chicken Bali,2000,3,0.03,09:04:19.200000,Before 9:00am
172,2022-04-18,Germany,Chicken Suya,4000,5,0.05,16:23:31.200000,Before 9:00am
173,2021-02-19,Germany,Hot Pepperoni Feast,4000,4,0.05,13:43:40.800000,Before 9:00am
174,2020-07-25,Germany,Hot Pepperoni Feast,4000,2,0.05,17:34:04.800000,Before 9:00am
175,2022-03-29,England,Chicken Feast,2000,1,0.1,09:59:02.400000,Before 9:00am
